high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
like,fancy,103.61,2.015,emotional,0.5499033073773112,0.48716639630995523,0.409047292489924,0.2944275255395796,0.3331214417934944,0.3310108163484471
invent,contrive,301.94,2.48,creation,0.4674708215755167,0.519496848294531,0.42259812473694136,0.3610862691167043,0.37682321984487144,0.32220007695880726
talk,converse,66.7,1.824,communication,0.42311466486230037,0.35777079766632564,0.29018955137422026,0.21734598283010742,0.2439867241276839,0.27774388844494663
wish,yearn,108.75,2.036,emotional,0.6080663874316896,0.5417350264150838,0.4613248863940893,0.4045132331532369,0.4756746008535575,0.36599356736837796
chew,masticate,241.67,2.383,consumption,0.6148626325055653,0.5701379994603348,0.3830540503294039,0.3377696779212115,0.3226538815698376,0.25750577165418
explain,elucidate,39.92,1.601,communication,0.36969624029672277,0.2645624022424211,0.22692403688223867,0.1692207807382136,0.19725489615041628,0.17984983367013294
make,fabricate,947.44,2.977,creation,0.5724492855270262,0.4611434656323,0.3511243144290432,0.3445810443704902,0.34158695163974834,0.3079274472108161
drink,imbibe,364.93,2.562,consumption,0.6181029687842371,0.48135709279026406,0.41114737874857177,0.346748180184114,0.2930614002041042,0.2917615938007212
think,cogitate,18915.17,4.277,cognitive,0.5424282056844482,0.5294003774787643,0.37547068320363663,0.35202166819608316,0.2631127799335269,0.21713799451898436
tell,relate,10.18,1.008,communication,0.4825828496359079,0.4020427322858474,0.316176867890449,0.229740223226785,0.33137894682928515,0.3708531918091952
fly,soar,22.57,1.354,movement,0.5780682812200842,0.5999461738386219,0.4626153226582961,0.365001839477224,0.36630387060000763,0.3055681528279862
form,mold,16.23,1.21,creation,0.504616564098104,0.4598114758527523,0.37374945010616234,0.22341374718423226,0.2262792749592837,0.179761216136422
spot,espy,2571.15,3.41,perception,0.5247551342813281,0.5456176436481256,0.44267192895042184,0.36345387442304905,0.42246287833936497,0.4085856553843909
wonder,ponder,11.16,1.048,cognitive,0.3582942741567732,0.360300330980939,0.29918027698678484,0.1744184698514064,0.22368168044624614,0.2266165089942573
look,gaze,71.9,1.857,perception,0.42160598691195944,0.3673401161495071,0.31409051391026566,0.20085851641072422,0.27197952390948726,0.2789991524534501
wreck,devastate,20.8,1.318,destruction,0.5944920837244673,0.5112466558275749,0.3442016614638693,0.28229915478295753,0.2798227926625434,0.33445097468427915
say,utter,26.32,1.42,communication,0.4738630828429104,0.3329117560309014,0.3323782315763645,0.2591859225946145,0.25778214689911016,0.2518894682913363
want,desire,15.62,1.194,emotional,0.37026406799403017,0.28775991096875164,0.22673635791734748,0.20405431571035243,0.21398399066495088,0.2511018484065679
believe,surmise,370.12,2.568,cognitive,0.5656868968631219,0.5900566207417464,0.3645050338814045,0.33994580692467635,0.24147831068267397,0.21882858972043467
burn,incinerate,484.28,2.685,destruction,0.4513985844473186,0.5120730143260677,0.3230761719854164,0.31593801510069086,0.2515518062402467,0.23310974403367823
love,adore,84.28,1.926,emotional,0.5107419794149493,0.5054678170630897,0.3390668489227088,0.28520030650598127,0.2588519196803106,0.2162008901243927
taste,savor,38.91,1.59,perception,0.5977517527450036,0.5081877643384041,0.4023816716941424,0.35091142282110344,0.38204438364575055,0.3281177406215291
walk,ambulate,2296.95,3.361,movement,0.5752976591899499,0.4982477596284603,0.36461245602510733,0.32576320637883827,0.30258644207947827,0.2628691444826671
break,shatter,26.89,1.43,destruction,0.4995424883817008,0.5425956216011558,0.3659105922257502,0.29920244954218267,0.27926666490184965,0.2584320029435093
guess,conjecture,34.82,1.542,cognitive,0.40031178016562297,0.43716657869610853,0.3385683400944592,0.23320537447561895,0.21295801132191386,0.2957785867297113
destroy,demolish,27.57,1.44,destruction,0.5601225579663772,0.5022429008766491,0.3277972245197034,0.3031955450852014,0.2006728995764916,0.17452040903242752
dance,cavort,252.26,2.402,movement,0.5352234327553127,0.5116862416103054,0.41967017254206274,0.3477505974099404,0.364824730074107,0.2649143845237084
write,compose,24.83,1.395,creation,0.44369680580388327,0.19587729730197984,0.2119527032520374,0.17586794344774148,0.21200416136097422,0.2021652649128314
worry,fret,19.32,1.286,emotional,0.34247106639477765,0.30219142353898953,0.3107730187683334,0.2130147110533986,0.21389983659551315,0.24327787284218086
bite,gnaw,64.54,1.81,consumption,0.49067290247773354,0.49429708133537,0.3741945993967174,0.3277258459691148,0.2674135426438738,0.2870553004222982
enjoy,relish,77.5,1.889,emotional,0.5409486388659962,0.5348198121747261,0.4246085927871808,0.33318113131802174,0.30251373768023493,0.24678726949654126
stare,gawk,16.25,1.211,perception,0.46482897094981446,0.5501147788065748,0.4142738037479121,0.3365476458599197,0.24955554317251588,0.2918154967500586
understand,fathom,159.44,2.203,cognitive,0.428419773201813,0.49840976011496707,0.40411142294425084,0.3316208356265223,0.3082218421632744,0.27182646925101406
run,sprint,42.2,1.625,movement,0.46984136723534053,0.32150070610380477,0.30258802290226033,0.21973024281419057,0.303160235245134,0.25800124768412014
realize,apprehend,73.33,1.865,cognitive,0.6059496505124689,0.49501488247547554,0.371970533121713,0.337443974145613,0.2792696502022074,0.25919564711969
notice,discern,11.38,1.056,perception,0.417434035002944,0.35477073903378475,0.32941127673465764,0.2290104487524467,0.2974461031927581,0.29688914080086504
forget,disremember,8018.47,3.904,cognitive,0.3159552337979137,0.41001961269295106,0.2799075558050751,0.25198912417005503,0.18307460460671285,0.13444621588628766
design,devise,129.79,2.113,creation,0.4292184164549783,0.2630090734348392,0.2828422541762491,0.2165723261241364,0.21076926336409846,0.2513881873940328
smash,pulverize,61.14,1.786,destruction,0.5159730731675444,0.47089190705124456,0.3354271475475158,0.3075923757806643,0.2660828004744711,0.3380811356881519
stroll,saunter,12.64,1.102,movement,0.4460958617295232,0.43346998117106,0.3882946468534162,0.33385432132271453,0.31518543073942995,0.2464634243028896
speak,articulate,28.51,1.455,communication,0.42928219025660214,0.3209676235852421,0.2946209721038413,0.19298757261252542,0.20096096878830344,0.21166250766751182
rush,hasten,23.69,1.375,movement,0.6110645469782434,0.5469851940495519,0.3937490031414608,0.3814460349501194,0.4142360834845356,0.3523168209214939
shout,vociferate,4848.15,3.686,communication,0.46306383295746567,0.5080237745488049,0.44663270463816407,0.3387688174351495,0.31209761645771067,0.29954982960748605
hate,loathe,41.44,1.617,emotional,0.41897394396157317,0.5774400987108975,0.378251212938126,0.34374876641937124,0.29216026004939827,0.2747473717173479
ruin,ravage,43.42,1.638,destruction,0.5629219549337792,0.47470693405078523,0.2897926947254796,0.25589793560565177,0.17411821765203703,0.1421038153018696
see,perceive,106.58,2.028,perception,0.4015899226839004,0.2779547195624376,0.2514146566612763,0.17415796518340956,0.2094558868660958,0.2223174776954855
hope,aspire,62.98,1.799,emotional,0.5031261397932338,0.575286290149913,0.3857546129022206,0.31472328547547035,0.32596787943989297,0.23065193648923288
listen,heed,23.65,1.374,perception,0.38337881883561586,0.4178303858933191,0.30376394266591217,0.21734539614577808,0.23768181043361852,0.24649596992258602
remember,recollect,123.1,2.09,cognitive,0.48795677603183546,0.4667294764783204,0.37184690604577175,0.3139433963897696,0.2991963416040769,0.3124325498514773
